date,day,month,altitude,depth,probability
03.feb,3,2,150,17.2443609,0.689655172
03.feb,3,2,250,31.28941176,0.896551724
03.feb,3,2,350,49.31909091,0.931034483
03.feb,3,2,450,53.3483871,0.931034483
03.feb,3,2,550,58.4,0.965517241
04.feb,4,2,50,11.128,0.517241379
04.feb,4,2,150,16.09172932,0.689655172
04.feb,4,2,250,31.33058824,0.827586207
04.feb,4,2,350,49.01818182,0.931034483
04.feb,4,2,450,53.00806452,0.931034483
04.feb,4,2,550,56.06666667,0.965517241
05.feb,5,2,50,12.128,0.517241379
05.feb,5,2,150,19.19398496,0.689655172
05.feb,5,2,250,29.27176471,0.827586207
05.feb,5,2,350,52.69363636,0.931034483
05.feb,5,2,450,58.88225806,0.931034483
05.feb,5,2,550,61.63333333,0.965517241
06.feb,6,2,50,11.456,0.551724138
06.feb,6,2,150,22.05488722,0.689655172
06.feb,6,2,250,35.99529412,0.862068966
06.feb,6,2,350,54.70727273,0.931034483
06.feb,6,2,450,58.1516129,0.931034483
06.feb,6,2,550,60.98333333,0.965517241
07.feb,7,2,50,10.334,0.551724138
07.feb,7,2,150,22.2406015,0.689655172
07.feb,7,2,250,37.63411765,0.827586207
07.feb,7,2,350,58.43727273,0.931034483
07.feb,7,2,450,61.39516129,0.931034483
07.feb,7,2,550,62.23333333,0.965517241
08.feb,8,2,50,10.938,0.551724138
08.feb,8,2,150,21.79398496,0.724137931
08.feb,8,2,250,37.47529412,0.827586207
08.feb,8,2,350,59.94454545,0.931034483
08.feb,8,2,450,63.82903226,0.931034483
08.feb,8,2,550,63.45,0.965517241
09.feb,9,2,50,10.65,0.551724138
09.feb,9,2,150,21.24661654,0.689655172
09.feb,9,2,250,35.78705882,0.827586207
09.feb,9,2,350,60.45090909,0.931034483
09.feb,9,2,450,64.57903226,0.931034483
09.feb,9,2,550,63.45,0.965517241
10.feb,10,2,50,10.37,0.551724138
10.feb,10,2,150,21.00827068,0.689655172
10.feb,10,2,250,35.59764706,0.862068966
10.feb,10,2,350,59.84545455,0.931034483
10.feb,10,2,450,63.97419355,0.931034483
10.feb,10,2,550,63.05,0.965517241
11.feb,11,2,50,10.176,0.517241379
11.feb,11,2,150,20.7924812,0.689655172
11.feb,11,2,250,39.44117647,0.793103448
11.feb,11,2,350,59.21454545,0.931034483
11.feb,11,2,450,63.47580645,0.965517241
11.feb,11,2,550,62.75,0.965517241
12.feb,12,2,50,13.02,0.551724138
12.feb,12,2,150,20.58947368,0.724137931
12.feb,12,2,250,39.03882353,0.793103448
12.feb,12,2,350,58.6,0.931034483
12.feb,12,2,450,63.07741935,0.965517241
12.feb,12,2,550,64.7,0.965517241
13.feb,13,2,50,11.27,0.551724138
13.feb,13,2,150,20.39924812,0.724137931
13.feb,13,2,250,38.67529412,0.793103448
13.feb,13,2,350,59.02272727,0.965517241
13.feb,13,2,450,62.66290323,0.965517241
13.feb,13,2,550,62.85,0.965517241
14.feb,14,2,50,10.88,0.517241379
14.feb,14,2,150,21.35263158,0.724137931
14.feb,14,2,250,38.25411765,0.827586207
